index,artist_all,artist_base,rank,song,year,artist_featured
89,robert knight,robert knight,90,everlasting love,1967,
90,"peter, paul and mary","peter, paul and mary",91,i dig rock and roll music,1967,
91,bill cosby,bill cosby,92,"little ole man (uptight, everything's alright)",1967,
92,the electric prunes,the electric prunes,93,i had too much to dream (last night),1967,
93,the monkees,the monkees,94,daydream believer,1967,
94,johnny rivers,johnny rivers,95,baby i need your lovin',1967,
95,tommy james and the shondells,tommy james and the shondells,96,mirage,1967,
96,tom jones,tom jones,97,"green, green grass of home",1967,
97,the who,the who,98,i can see for miles,1967,
98,petula clark,petula clark,99,don't sleep in the subway,1967,
99,neil diamond,neil diamond,100,thank the lord for the night time,1967,
0,the beatles,the beatles,1,hey jude,1968,
1,paul mauriat,paul mauriat,2,love is blue,1968,
2,bobby goldsboro,bobby goldsboro,3,honey,1968,
3,otis redding,otis redding,4,(sittin' on) the dock of the bay,1968,
4,the rascals,the rascals,5,people got to be free,1968,
5,cream,cream,6,sunshine of your love,1968,
6,herb alpert,herb alpert,7,this guy's in love with you,1968,
7,hugo montenegro,hugo montenegro,8,"the good, the bad and the ugly",1968,
8,simon & garfunkel,simon & garfunkel,9,mrs. robinson,1968,
9,archie bell & the drells,archie bell & the drells,10,tighten up,1968,
10,jeannie c. riley,jeannie c. riley,11,harper valley pta,1968,
11,o. c. smith,o. c. smith,12,little green apples,1968,
12,tommy james and the shondells,tommy james and the shondells,13,mony mony,1968,
13,the doors,the doors,14,"hello, i love you",1968,
14,gary puckett & the union gap,gary puckett & the union gap,15,young girl,1968,
15,the box tops,the box tops,16,cry like a baby,1968,
16,the 5th dimension,the 5th dimension,17,stoned soul picnic,1968,
17,hugh masekela,hugh masekela,18,grazing in the grass,1968,
18,the grass roots,the grass roots,19,midnight confessions,1968,
19,sly & the family stone,sly & the family stone,20,dance to the music,1968,
20,cliff nobles,cliff nobles,21,the horse,1968,
21,the temptations,the temptations,22,i wish it would rain,1968,
22,the delfonics,the delfonics,23,la-la (means i love you),1968,
23,the vogues,the vogues,24,"turn around, look at me",1968,
24,john fred & his playboy band,john fred,25,judy in disguise (with glasses),1968,
25,classics iv,classics iv,26,spooky,1968,
26,the supremes,the supremes,27,love child,1968,
27,merrilee rush,merrilee rush,28,angel of the morning,1968,
28,georgie fame,georgie fame,29,the ballad of bonnie and clyde,1968,
29,mary hopkin,mary hopkin,30,those were the days,1968,
30,steppenwolf,steppenwolf,31,born to be wild,1968,
31,the intruders,the intruders,32,cowboys to girls,1968,
32,1910 fruitgum company,1910 fruitgum company,33,simon says,1968,
33,gary puckett & the union gap,gary puckett & the union gap,34,lady willpower,1968,
34,the rascals,the rascals,35,a beautiful morning,1968,
35,sérgio mendes,sérgio mendes,36,the look of love,1968,
36,johnny nash,johnny nash,37,hold me tight,1968,
37,ohio express,ohio express,38,yummy yummy yummy,1968,
38,the crazy world of arthur brown,the crazy world of arthur brown,39,fire,1968,
39,the troggs,the troggs,40,love is all around,1968,
40,gene & debbe,gene & debbe,41,playboy,1968,
41,dionne warwick,dionne warwick,42,(theme from) valley of the dolls,1968,
42,mason williams,mason williams,43,classical gas,1968,
43,clarence carter,clarence carter,44,slip away,1968,
44,the o'kaysions,the o'kaysions,45,girl watcher,1968,
45,aretha franklin,aretha franklin,46,(sweet sweet baby) since you've been gone,1968,
46,the lemon pipers,the lemon pipers,47,green tambourine,1968,
47,1910 fruitgum company,1910 fruitgum company,48,"1, 2, 3, red light",1968,
48,friend & lover,friend & lover,49,reach out of the darkness,1968,
49,the rolling stones,the rolling stones,50,jumpin' jack flash,1968,
50,richard harris,richard harris,51,macarthur park,1968,
51,josé feliciano,josé feliciano,52,light my fire,1968,
52,people!,people!,53,i love you,1968,
53,percy sledge,percy sledge,54,take time to know her,1968,
54,status quo,status quo,55,pictures of matchstick men,1968,
55,blue cheer,blue cheer,56,summertime blues,1968,
56,marvin gaye  &  tammi terrell,marvin gaye,57,ain't nothing like the real thing,1968,
57,james brown,james brown,58,i got the feelin',1968,
58,the bee gees,bee gees,59,i've gotta get a message to you,1968,
59,the beatles,the beatles,60,lady madonna,1968,
60,donovan,donovan,61,hurdy gurdy man,1968,
61,steppenwolf,steppenwolf,62,magic carpet ride,1968,
62,the fireballs,the fireballs,63,bottle of wine,1968,
63,the dells,the dells,64,stay in my corner,1968,
64,willie mitchell,willie mitchell,65,soul serenade,1968,
65,tom jones,tom jones,66,delilah,1968,
66,the human beinz,the human beinz,67,nobody but me,1968,
67,sam & dave,sam & dave,68,i thank you,1968,
68,sérgio mendes,sérgio mendes,69,the fool on the hill,1968,
69,the animals,the animals,70,sky pilot,1968,
70,the cowsills,the cowsills,71,indian lake,1968,
71,tommy boyce & bobby hart,tommy boyce,72,i wonder what she's doing tonight,1968,
72,gary puckett & the union gap,gary puckett & the union gap,73,over you,1968,
73,the lettermen,the lettermen,74,goin' out of my head,1968,
74,stevie wonder,stevie wonder,75,shoo-be-doo-be-doo-da-day,1968,
75,the irish rovers,the irish rovers,76,the unicorn,1968,
76,vanilla fudge,vanilla fudge,77,you keep me hangin' on,1968,
77,the beatles,the beatles,78,revolution,1968,
78,gary puckett & the union gap,gary puckett & the union gap,79,"woman, woman",1968,
79,the turtles,the turtles,80,elenore,1968,
80,cream,cream,81,white room,1968,
81,marvin gaye  &  tammi terrell,marvin gaye,82,you're all i need to get by,1968,
82,the foundations,the foundations,83,"baby, now that i've found you",1968,
83,the sweet inspirations,the sweet inspirations,84,sweet inspiration,1968,
84,smokey robinson and the miracles,the miracles,85,if you can want,1968,
85,the mills brothers,the mills brothers,86,cab driver,1968,
86,the chambers brothers,the chambers brothers,87,time has come today,1968,
87,dionne warwick,dionne warwick,88,do you know the way to san jose,1968,
88,simon & garfunkel,simon & garfunkel,89,scarborough fair,1968,
89,james brown,james brown,90,say it loud – i'm black and i'm proud,1968,
90,manfred mann,manfred mann,91,the mighty quinn,1968,
91,shorty long,shorty long,92,here comes the judge,1968,
92,aretha franklin,aretha franklin,93,i say a little prayer,1968,
93,aretha franklin,aretha franklin,94,think,1968,
94,gary lewis and the playboys,gary lewis and the playboys,95,sealed with a kiss,1968,
95,big brother and the holding company,big brother and the holding company,96,piece of my heart,1968,
96,creedence clearwater revival,creedence clearwater revival,97,suzie q.,1968,
97,the american breed,the american breed,98,"bend me, shape me",1968,
98,jerry butler,jerry butler,99,"hey, western union man",1968,
99,jerry butler,jerry butler,100,never give you up,1968,
0,the archies,the archies,1,"sugar, sugar",1969,
1,the 5th dimension,the 5th dimension,2,aquarius/let the sunshine in,1969,
2,the temptations,the temptations,3,i can't get next to you,1969,
3,the rolling stones,the rolling stones,4,honky tonk women,1969,
4,sly and the family stone,sly and the family stone,5,everyday people,1969,
5,tommy roe,tommy roe,6,dizzy,1969,
6,sly and the family stone,sly and the family stone,7,hot fun in the summertime,1969,
7,tom jones,tom jones,8,i'll never fall in love again,1969,
8,the foundations,the foundations,9,build me up buttercup,1969,
9,tommy james and the shondells,tommy james and the shondells,10,crimson and clover,1969,
10,three dog night,three dog night,11,one,1969,
11,tommy james and the shondells,tommy james and the shondells,12,crystal blue persuasion,1969,
12,the cowsills,the cowsills,13,hair,1969,
13,marvin gaye,marvin gaye,14,too busy thinking about my baby,1969,
14,henry mancini,henry mancini,15,love theme from romeo and juliet,1969,
15,the youngbloods,the youngbloods,16,get together,1969,
16,the friends of distinction,the friends of distinction,17,grazing in the grass,1969,
17,elvis presley,elvis presley,18,suspicious minds,1969,
18,creedence clearwater revival,creedence clearwater revival,19,proud mary,1969,
19,jr. walker & the all stars,junior walker,20,what does it take (to win your love),1969,
20,the isley brothers,the isley brothers,21,it's your thing,1969,
21,neil diamond,neil diamond,22,sweet caroline,1969,
22,oliver,oliver,23,jean,1969,
23,creedence clearwater revival,creedence clearwater revival,24,bad moon rising,1969,
24,the beatles  with  billy preston,the beatles,25,get back,1969,
25,zager & evans,zager & evans,26,in the year 2525,1969,
26,"blood, sweat & tears","blood, sweat & tears",27,spinning wheel,1969,
27,andy kim,andy kim,28,"baby, i love you",1969,
28,the friends of distinction,the friends of distinction,29,going in circles,1969,
29,the lettermen,the lettermen,30,hurt so bad,1969,
30,creedence clearwater revival,creedence clearwater revival,31,green river,1969,
31,stevie wonder,stevie wonder,32,my cherie amour,1969,
32,three dog night,three dog night,33,easy to be hard,1969,
33,smith,smith,34,baby it's you,1969,
34,elvis presley,elvis presley,35,in the ghetto,1969,
35,johnny cash,johnny cash,36,a boy named sue,1969,
36,the miracles,smokey robinson and the miracles,37,"baby, baby don't cry",1969,
37,jerry butler,jerry butler,38,only the strong survive,1969,
38,the zombies,the zombies,39,time of the season,1969,
39,the 5th dimension,the 5th dimension,40,wedding bell blues,1969,
40,bobby sherman,bobby sherman,41,little woman,1969,
41,mercy,mercy,42,love (can make you happy),1969,
42,oliver,oliver,43,good morning starshine,1969,
43,the guess who,the guess who,44,these eyes,1969,
44,"blood, sweat & tears","blood, sweat & tears",45,you've made me so very happy,1969,
45,jackie deshannon,jackie deshannon,46,put a little love in your heart,1969,
46,the watts 103rd street rhythm band,charles wright & the watts 103rd street rhythm band,47,do your thing,1969,
47,the grass roots,the grass roots,48,i'd wait a million years,1969,
48,the doors,the doors,49,touch me,1969,
49,spiral starecase,spiral starecase,50,more today than yesterday,1969,
50,sammy davis jr.,sammy davis jr.,51,i've gotta be me,1969,
51,bob dylan,bob dylan,52,lay lady lay,1969,
52,donovan,donovan,53,atlantis,1969,
53,classics iv,classics iv,54,traces,1969,
54,"""mama"" cass elliot",cass elliot,55,it's getting better,1969,
55,jay and the americans,jay and the americans,56,this magic moment,1969,
56,the temptations,the temptations,57,"runaway child, running wild",1969,
57,the ventures,the ventures,58,hawaii five-o,1969,
58,glen campbell,glen campbell,59,galveston,1969,
59,lou christie,lou christie,60,i'm gonna make you mine,1969,
60,ray stevens,ray stevens,61,gitarzan,1969,
61,tyrone davis,tyrone davis,62,can i change my mind,1969,
62,booker t & the m.g.'s,booker t & the m.g.'s,63,time is tight,1969,
63,dionne warwick,dionne warwick,64,this girl's in love with you,1969,
64,the winstons,the winstons,65,color him father,1969,
65,"checkmates, ltd.","checkmates, ltd.",66,black pearl,1969,
66,1910 fruitgum company,1910 fruitgum company,67,indian giver,1969,
67,james brown,james brown,68,mother popcorn,1969,
68,edwin starr,edwin starr,69,twenty-five miles,1969,
69,new colony six,new colony six,70,things i'd like to say,1969,
70,motherlode,motherlode,71,when i die,1969,
71,marvin gaye,marvin gaye,72,that's the way love is,1969,
72,harry nilsson,harry nilsson,73,everybody's talkin',1969,
73,johnny maestro & the brooklyn bridge,johnny maestro & the brooklyn bridge,74,the worst that could happen,1969,
74,joe simon,joe simon,75,the chokin' kind,1969,
75,the flying machine,the flying machine,76,smile a little smile for me,1969,
76,tony joe white,tony joe white,77,polk salad annie,1969,
77,kenny rogers and the first edition,kenny rogers and the first edition,78,"ruby, don't take your love to town",1969,
78,joe south,joe south,79,games people play,1969,
79,the turtles,the turtles,80,you showed me,1969,
80,the cuff links,the cuff links,81,tracy,1969,
81,the dells,the dells,82,"oh, what a night",1969,
82,the beatles,the beatles,83,something,1969,
83,gary puckett & the union gap,gary puckett & the union gap,84,this girl is a woman now,1969,
84,the beatles,the beatles,85,come together,1969,
85,bob seger system,bob seger,86,ramblin' gamblin' man,1969,
86,the supremes  &  the temptations,the supremes,87,i'm gonna make you love me,1969,
87,marvin gaye,marvin gaye,88,i heard it through the grapevine,1969,
88,crazy elephant,crazy elephant,89,gimme gimme good lovin',1969,
89,booker t & the m.g.'s,booker t & the m.g.'s,90,hang 'em high,1969,
90,lou rawls,lou rawls,91,your good thing (is about to end),1969,
91,the originals,the originals,92,"baby, i'm for real",1969,
92,edwin hawkins singers,edwin hawkins,93,oh happy day,1969,
93,tom jones,tom jones,94,love me tonight,1969,
94,paul revere & the raiders,paul revere & the raiders,95,"mr. sun, mr. moon",1969,
95,the guess who,the guess who,96,laughing,1969,
96,david ruffin,david ruffin,97,my whole world ended (the moment you left me),1969,
97,the box tops,the box tops,98,soul deep,1969,
98,b.j. thomas,b.j. thomas,99,hooked on a feeling,1969,
99,the box tops,the box tops,100,sweet cream ladies,1969,
100,paul revere & the raiders,paul revere & the raiders,50,let me,1969,
0,simon & garfunkel,simon & garfunkel,1,bridge over troubled water,1970,
1,the carpenters,the carpenters,2,(they long to be) close to you,1970,
2,the guess who,the guess who,3,american woman,1970,
3,b.j. thomas,b.j. thomas,4,raindrops keep fallin' on my head,1970,
4,edwin starr,edwin starr,5,war,1970,
5,diana ross,diana ross,6,ain't no mountain high enough,1970,
6,the jackson 5,the jackson 5,7,i'll be there,1970,
7,rare earth,rare earth,8,get ready,1970,
8,the beatles,the beatles,9,let it be,1970,
9,freda payne,freda payne,10,band of gold,1970,
10,three dog night,three dog night,11,mama told me (not to come),1970,
11,ray stevens,ray stevens,12,everything is beautiful,1970,
12,bread,bread,13,make it with you,1970,
13,vanity fare,vanity fare,14,hitchin' a ride,1970,
14,the jackson 5,the jackson 5,15,abc,1970,
15,the jackson 5,the jackson 5,16,the love you save,1970,
16,neil diamond,neil diamond,17,cracklin' rosie,1970,
17,dawn,tony orlando and dawn,18,candida,1970,
18,sly & the family stone,sly & the family stone,19,thank you (falettinme be mice elf agin),1970,
19,eric burdon  &  war,eric burdon,20,spill the wine,1970,
20,five stairsteps,five stairsteps,21,o-o-h child,1970,
21,norman greenbaum,norman greenbaum,22,spirit in the sky,1970,
22,melanie,melanie safka,23,lay down (candles in the rain),1970,
23,the temptations,the temptations,24,ball of confusion (that's what the world is today),1970,
24,the moments,the moments,25,love on a two-way street,1970,
25,the poppy family,the poppy family,26,which way you goin' billy?,1970,
26,free,free,27,all right now,1970,
27,the jackson 5,the jackson 5,28,i want you back,1970,
28,bobby sherman,bobby sherman,29,"julie, do ya love me",1970,
29,sugarloaf,sugarloaf,30,green-eyed lady,1970,
30,stevie wonder,stevie wonder,31,"signed, sealed, delivered i'm yours",1970,
31,blues image,blues image,32,ride captain ride,1970,
32,shocking blue,shocking blue,33,venus,1970,
33,john lennon,john lennon,34,instant karma!,1970,
34,clarence carter,clarence carter,35,patches,1970,
35,creedence clearwater revival,creedence clearwater revival,36,lookin' out my back door,1970,
36,brook benton,brook benton,37,rainy night in georgia,1970,
37,kenny rogers  &  the first edition,kenny rogers,38,something's burning,1970,
38,chairmen of the board,chairmen of the board,39,give me just a little more time,1970,
39,edison lighthouse,edison lighthouse,40,love grows (where my rosemary goes),1970,
40,the beatles,the beatles,41,the long and winding road,1970,
41,anne murray,anne murray,42,snowbird,1970,
42,marmalade,marmalade,43,reflections of my life,1970,
43,eddie holman,eddie holman,44,hey there lonely girl,1970,
44,the jaggerz,the jaggerz,45,the rapper,1970,
45,the hollies,the hollies,46,"he ain't heavy, he's my brother",1970,
46,alive n kickin',alive n kickin',47,"tighter, tighter",1970,
47,badfinger,badfinger,48,come and get it,1970,
48,simon & garfunkel,simon & garfunkel,49,cecilia,1970,
49,charles wright & the watts 103rd street rhythm band,charles wright & the watts 103rd street rhythm band,50,love land,1970,
50,tyrone davis,tyrone davis,51,turn back the hands of time,1970,
51,the kinks,the kinks,52,lola,1970,
52,mungo jerry,mungo jerry,53,in the summertime,1970,
53,r. dean taylor,r. dean taylor,54,indiana wants me,1970,
54,rare earth,rare earth,55,(i know) i'm losing you,1970,
55,bobby sherman,bobby sherman,56,"easy come, easy go",1970,
56,charles wright & the watts 103rd street rhythm band,charles wright & the watts 103rd street rhythm band,57,express yourself,1970,
57,the four tops,the four tops,58,still water (love),1970,
58,chicago,chicago,59,make me smile,1970,
59,frijid pink,frijid pink,60,the house of the rising sun,1970,
60,chicago,chicago,61,25 or 6 to 4,1970,
61,white plains,white plains,62,my baby loves lovin',1970,
62,the friends of distinction,the friends of distinction,63,love or let me be lonely,1970,
63,the brotherhood of man,the brotherhood of man,64,united we stand,1970,
64,the carpenters,the carpenters,65,we've only just begun,1970,
65,mark lindsay,mark lindsay,66,arizona,1970,
66,james taylor,james taylor,67,fire and rain,1970,
67,gene chandler,gene chandler,68,groovy situation,1970,
68,santana,santana,69,evil ways,1970,
69,the guess who,the guess who,70,no time,1970,
70,the delfonics,the delfonics,71,didn't i (blow your mind this time),1970,
71,elvis presley,elvis presley,72,the wonder of you,1970,
72,creedence clearwater revival,creedence clearwater revival,73,up around the bend,1970,
73,ronnie dyson,ronnie dyson,74,(if you let me make love to you then) why can't i touch you?,1970,
74,b.j. thomas,b.j. thomas,75,i just can't help believing,1970,
75,the spinners,the spinners,76,it's a shame,1970,
76,bobbi martin,bobbi martin,77,for the love of him,1970,
77,mountain,mountain,78,mississippi queen,1970,
78,ike & tina turner,ike & tina turner,79,i want to take you higher,1970,
79,joe cocker,joe cocker,80,the letter,1970,
80,tee set,tee set,81,ma belle amie,1970,
81,the originals,the originals,82,the bells,1970,
82,christie,christie,83,yellow river,1970,
83,100 proof,100 proof aged in soul,84,somebody's been sleeping,1970,
84,the ides of march,the ides of march,85,vehicle,1970,
85,the pipkins,the pipkins,86,gimme dat ding,1970,
86,robin mcnamara,robin mcnamara,87,lay a little lovin' on me,1970,
87,the supremes,the supremes,88,up the ladder to the roof,1970,
88,creedence clearwater revival,creedence clearwater revival,89,travelin' band,1970,
89,the sandpipers,the sandpipers,90,come saturday morning,1970,
90,the temptations,the temptations,91,psychedelic shack,1970,
91,tom jones,tom jones,92,without love (there is nothing),1970,
92,pacific gas & electric,pacific gas & electric,93,are you ready?,1970,
93,"crosby, stills, nash & young","crosby, stills, nash & young",94,woodstock,1970,
94,dionne warwick,dionne warwick,95,i'll never fall in love again,1970,
95,the new seekers,the new seekers,96,look what they've done to my song ma,1970,
96,joe south,joe south,97,walk a mile in my shoes,1970,
97,b.b. king,b.b. king,98,the thrill is gone,1970,
98,glen campbell,glen campbell,99,it's only make believe,1970,
99,aretha franklin,aretha franklin,100,call me,1970,
0,three dog night,three dog night,1,joy to the world,1971,
1,rod stewart,rod stewart,2,maggie may,1971,
2,carole king,carole king,3,it's too late,1971,
3,the osmonds,the osmonds,4,one bad apple,1971,
4,bee gees,bee gees,5,how can you mend a broken heart,1971,
5,paul revere & the raiders,paul revere & the raiders,6,indian reservation (the lament of the cherokee reservation indian),1971,
6,donny osmond,donny osmond,7,go away little girl,1971,
7,john denver,john denver,8,"take me home, country roads",1971,
8,the temptations,the temptations,9,just my imagination (running away with me),1971,
9,tony orlando and dawn,tony orlando and dawn,10,knock three times,1971,
10,janis joplin,janis joplin,11,me and bobby mcgee,1971,
11,al green,al green,12,tired of being alone,1971,
12,honey cone,honey cone,13,want ads,1971,
13,the undisputed truth,the undisputed truth,14,smiling faces sometimes,1971,
14,cornelius brothers & sister rose,cornelius brothers & sister rose,15,treat her like a lady,1971,
15,james taylor,james taylor,16,you've got a friend,1971,
16,jean knight,jean knight,17,mr. big stuff,1971,
17,the rolling stones,the rolling stones,18,brown sugar,1971,
18,lee michaels,lee michaels,19,do you know what i mean,1971,
19,joan baez,joan baez,20,the night they drove old dixie down,1971,
20,marvin gaye,marvin gaye,21,what's going on,1971,
21,paul  &  linda mccartney,paul mccartney,22,uncle albert/admiral halsey,1971,
22,bill withers,bill withers,23,ain't no sunshine,1971,
23,five man electrical band,five man electrical band,24,signs,1971,
24,tom jones,tom jones,25,she's a lady,1971,
25,murray head & the trinidad singers,murray head,26,superstar,1971,
26,the free movement,the free movement,27,i've found someone of my own,1971,
27,jerry reed,jerry reed,28,amos moses,1971,
28,the grass roots,the grass roots,29,temptation eyes,1971,
29,the carpenters,the carpenters,30,superstar,1971,
30,george harrison,george harrison,31,my sweet lord,1971,
31,donny osmond,donny osmond,32,sweet and innocent,1971,
32,ocean,ocean,33,put your hand in the hand,1971,
33,daddy dewdrop,daddy dewdrop,34,chick-a-boom (don't ya jes' love it),1971,
34,the carpenters,the carpenters,35,for all we know,1971,
35,sammi smith,sammi smith,36,help me make it through the night,1971,
36,the carpenters,the carpenters,37,rainy days and mondays,1971,
37,gordon lightfoot,gordon lightfoot,38,if you could read my mind,1971,
38,cher,cher,39,"gypsys, tramps & thieves",1971,
39,the jackson 5,the jackson 5,40,never can say goodbye,1971,
40,lynn anderson,lynn anderson,41,rose garden,1971,
41,"hamilton, joe frank & reynolds","hamilton, joe frank & reynolds",42,don't pull your love,1971,
42,ringo starr,ringo starr,43,it don't come easy,1971,
43,nitty gritty dirt band,nitty gritty dirt band,44,mr. bojangles,1971,
44,the fuzz,the fuzz,45,i love you for all seasons,1971,
45,the dramatics,the dramatics,46,whatcha see is whatcha get,1971,
46,carly simon,carly simon,47,that's the way i've always heard it should be,1971,
47,stevie wonder,stevie wonder,48,if you really love me,1971,
48,aretha franklin,aretha franklin,49,spanish harlem,1971,
49,helen reddy,helen reddy,50,i don't know how to love him,1971,
50,the osmonds,the osmonds,51,yo-yo,1971,
51,aretha franklin,aretha franklin,52,bridge over troubled water,1971,
52,the partridge family,the partridge family,53,doesn't somebody want to be wanted,1971,
53,tommy james,tommy james,54,draggin' the line,1971,
54,ike & tina turner,ike & tina turner,55,proud mary,1971,
55,chicago,chicago,56,beginnings,1971,
56,the bells,the bells,57,stay awhile,1971,
57,the stampeders,the stampeders,58,sweet city woman,1971,
58,lobo,lobo,59,me and you and a dog named boo,1971,
59,paul mccartney,paul mccartney,60,another day,1971,
60,bread,bread,61,if,1971,
61,marvin gaye,marvin gaye,62,mercy mercy me (the ecology),1971,
62,brewer & shipley,brewer & shipley,63,one toke over the line,1971,
63,8th day,8th day,64,she's not just another woman,1971,
64,freda payne,freda payne,65,bring the boys home,1971,
65,rare earth,rare earth,66,i just want to celebrate,1971,
66,delaney & bonnie  & friends,delaney & bonnie,67,never ending song of love,1971,
67,freddie hart,freddie hart,68,easy loving,1971,
68,three dog night,three dog night,69,liar,1971,
69,honey cone,honey cone,70,stick-up,1971,
70,mac and katie kissoon,mac and katie kissoon,71,chirpy chirpy cheep cheep,1971,
71,andy williams,andy williams,72,(where do i begin?) love story,1971,
72,cat stevens,cat stevens,73,wild world,1971,
73,jerry reed,jerry reed,74,"when you're hot, you're hot",1971,
74,the beginning of the end,the beginning of the end,75,funky nassau,1971,
75,olivia newton-john,olivia newton-john,76,if not for you,1971,
76,king floyd,king floyd,77,groove me,1971,
77,bobby goldsboro,bobby goldsboro,78,watching scotty grow,1971,
78,matthews southern comfort,matthews southern comfort,79,woodstock,1971,
79,judy collins,judy collins,80,amazing grace,1971,
80,dave edmunds,dave edmunds,81,i hear you knocking,1971,
81,bee gees,bee gees,82,lonely days,1971,
82,the fortunes,the fortunes,83,here comes that rainy day feeling again,1971,
83,the who,the who,84,won't get fooled again,1971,
84,denise lasalle,denise lasalle,85,trapped by a thing called love,1971,
85,the jackson 5,the jackson 5,86,mama's pearl,1971,
86,the buoys,the buoys,87,timothy,1971,
87,the partridge family,the partridge family,88,i woke up in love this morning,1971,
88,isaac hayes,isaac hayes,89,theme from shaft,1971,
89,gladys knight & the pips,gladys knight & the pips,90,if i were your woman,1971,
90,neil diamond,neil diamond,91,i am i said,1971,
91,paul stookey,paul stookey,92,the wedding song (there is love),1971,
92,wilson pickett,wilson pickett,93,dont knock my love part 1,1971,
93,the doors,the doors,94,love her madly,1971,
94,richie havens,richie havens,95,here comes the sun,1971,
95,wadsworth mansion,wadsworth mansion,96,sweet mary,1971,
96,brenda & the tabulations,brenda & the tabulations,97,right on the tip of my tongue,1971,
97,the 5th dimension,the 5th dimension,98,one less bell to answer,1971,
98,the doors,the doors,99,riders on the storm,1971,
99,perry como,perry como,100,somos novios its impossible,1971,
0,roberta flack,roberta flack,1,the first time ever i saw your face,1972,
1,gilbert o'sullivan,gilbert o'sullivan,2,alone again (naturally),1972,
2,don mclean,don mclean,3,american pie,1972,
3,harry nilsson,harry nilsson,4,without you,1972,
4,sammy davis jr.,sammy davis jr.,5,the candy man,1972,
5,joe tex,joe tex,6,i gotcha,1972,
6,bill withers,bill withers,7,lean on me,1972,
7,mac davis,mac davis,8,"baby, don't get hooked on me",1972,
8,melanie,melanie safka,9,brand new key,1972,
9,wayne newton,wayne newton,10,daddy don't you walk so fast,1972,
10,al green,al green,11,let's stay together,1972,
11,looking glass,looking glass,12,brandy (you're a fine girl),1972,
12,the chi-lites,the chi-lites,13,oh girl,1972,
13,gallery,gallery,14,nice to be with you,1972,
14,chuck berry,chuck berry,15,my ding-a-ling,1972,
15,luther ingram,luther ingram,16,(if loving you is wrong) i don't want to be right,1972,
16,neil young,neil young,17,heart of gold,1972,
17,the stylistics,the stylistics,18,"betcha by golly, wow",1972,
18,the staple singers,the staple singers,19,i'll take you there,1972,
19,michael jackson,michael jackson,20,ben,1972,
20,robert john,robert john,21,the lion sleeps tonight,1972,
21,billy preston,billy preston,22,outa-space,1972,
22,war,war,23,slippin' into darkness,1972,
23,the hollies,the hollies,24,long cool woman in a black dress,1972,
24,mouth & macneal,mouth & macneal,25,how do you do,1972,
25,neil diamond,neil diamond,26,song sung blue,1972,
26,america,america,27,a horse with no name,1972,
27,hot butter,hot butter,28,popcorn,1972,
28,the main ingredient,the main ingredient,29,everybody plays the fool,1972,
29,climax,climax,30,precious and few,1972,
30,the 5th dimension,the 5th dimension,31,(last night) i didn't get to sleep at all,1972,
31,the moody blues,the moody blues,32,nights in white satin,1972,
32,raspberries,raspberries,33,go all the way,1972,
33,cornelius brothers & sister rose,cornelius brothers & sister rose,34,too late to turn back now,1972,
34,the o'jays,the o'jays,35,back stabbers,1972,
35,the osmonds,the osmonds,36,down by the lazy river,1972,
36,jonathan edwards,jonathan edwards,37,sunshine,1972,
37,mel and tim,mel and tim,38,starting all over again,1972,
38,badfinger,badfinger,39,day after day,1972,
39,elton john,elton john,40,rocket man,1972,
40,michael jackson,michael jackson,41,rockin' robin,1972,
41,daniel boone,daniel boone,42,beautiful sunday,1972,
42,dennis coffey,dennis coffey,43,scorpio,1972,
43,cat stevens,cat stevens,44,morning has broken,1972,
44,arlo guthrie,arlo guthrie,45,city of new orleans,1972,
45,ricky nelson,ricky nelson,46,garden party,1972,
46,johnny nash,johnny nash,47,i can see clearly now,1972,
47,elvis presley,elvis presley,48,burning love,1972,
48,betty wright,betty wright,49,clean up woman,1972,
49,argent,argent,50,hold your head up,1972,
50,the chakachas,the chakachas,51,jungle fever,1972,
51,bread,bread,52,everything i own,1972,
52,the dramatics,the dramatics,53,in the rain,1972,
53,al green,al green,54,look what you done for me,1972,
54,donna fargo,donna fargo,55,the happiest girl in the whole u.s.a.,1972,
55,t. rex,t. rex,56,get it on,1972,
56,paul simon,paul simon,57,mother and child reunion,1972,
57,roberta flack  &  donny hathaway,roberta flack,58,where is the love,1972,
58,al green,al green,59,i'm still in love with you,1972,
59,derek and the dominos,derek and the dominos,60,layla,1972,
60,aretha franklin,aretha franklin,61,day dreaming,1972,
61,cher,cher,62,the way of love,1972,
62,three dog night,three dog night,63,black and white,1972,
63,dr. hook & the medicine show,dr hook,64,sylvia's mother,1972,
64,the carpenters,the carpenters,65,hurting each other,1972,
65,harry nilsson,harry nilsson,66,coconut,1972,
66,donny osmond,donny osmond,67,puppy love,1972,
67,jim croce,jim croce,68,you don't mess around with jim,1972,
68,commander cody and his lost planet airmen,commander cody and his lost planet airmen,69,hot rod lincoln,1972,
69,sonny & cher,sonny & cher,70,a cowboy's work is never done,1972,
70,apollo 100,apollo 100,71,joy,1972,
71,carly simon,carly simon,72,anticipation,1972,
72,three dog night,three dog night,73,never been to spain,1972,
73,charley pride,charley pride,74,kiss an angel good mornin',1972,
74,alice cooper,alice cooper,75,school's out,1972,
75,chicago,chicago,76,saturday in the park,1972,
76,joe simon,joe simon,77,drowning in the sea of love,1972,
77,bill withers,bill withers,78,use me,1972,
78,sly & the family stone,sly & the family stone,79,family affair,1972,
